tissue	ontologyId	gencodeId	geneSymbol	mean_tpm	freq	freq_log
Brain Substantia nigra	UBERON:0002038	ENSG00000159189.12	C1QC	81.5773989617486	0.0149683665767578	-0.0907373310141106
Brain Hypothalamus	UBERON:0001898	ENSG00000159189.12	C1QC	49.0433470817121	0.00899880121961781	-0.0611563161655154
Brain Caudate basal ganglia	UBERON:0001873	ENSG00000159189.12	C1QC	40.7052910666667	0.00746887895488292	-0.0527668274153936
Breast Mammary Tissue	UBERON:0008367	ENSG00000159189.12	C1QC	107.461780758755	0.0197178060082849	-0.111688695586907
Minor Salivary Gland	UBERON:0006330	ENSG00000159189.12	C1QC	74.2368687845304	0.0136214770220678	-0.084425547371185
Heart Atrial Appendage	UBERON:0006631	ENSG00000159189.12	C1QC	48.7601317787419	0.00894683498229032	-0.0608779054850981
Adrenal Gland	UBERON:0002369	ENSG00000159189.12	C1QC	194.408614847458	0.0356713924414402	-0.171546888766694
Colon Transverse	UBERON:0001157	ENSG00000159189.12	C1QC	126.694929665971	0.0232468327599661	-0.126156423884927
Stomach	UBERON:0000945	ENSG00000159189.12	C1QC	65.6611302948403	0.0120479431877729	-0.0768064729575557
Artery Tibial	UBERON:0007610	ENSG00000159189.12	C1QC	73.8267071490593	0.0135462178229074	-0.0840673684595767
Brain Cerebellar Hemisphere	UBERON:0002037	ENSG00000159189.12	C1QC	12.4666811913357	0.00228747001550005	-0.0200657589219409
Artery Aorta	UBERON:0001496	ENSG00000159189.12	C1QC	231.576726059322	0.0424912459874665	-0.193619458657508
Heart Left Ventricle	UBERON:0006566	ENSG00000159189.12	C1QC	22.9653254646018	0.00421383145924884	-0.0332498762531244
Brain Anterior cingulate cortex BA24	UBERON:0009835	ENSG00000159189.12	C1QC	27.4494357939914	0.00503660600262945	-0.0384460878192036
Cells EBV-transformed lymphocytes	EFO:0000572	ENSG00000159189.12	C1QC	2.7247901529052	0.000499962714826802	-0.00548253707029355
Colon Sigmoid	UBERON:0001159	ENSG00000159189.12	C1QC	92.4340735322196	0.016960421813179	-0.0997558439687271
Fallopian Tube	UBERON:0003889	ENSG00000159189.12	C1QC	113.188853793103	0.0207686476590489	-0.116085295039955
Cells Cultured fibroblasts	EFO:0002009	ENSG00000159189.12	C1QC	0.216263987730061	3.96815623799539e-05	-0.000580190934676936
Brain Hippocampus	UBERON:0001954	ENSG00000159189.12	C1QC	35.945040745098	0.00659543639950335	-0.0477794265135028
Pancreas	UBERON:0001150	ENSG00000159189.12	C1QC	19.7680699171271	0.00362717763498786	-0.0294053001540309
Lung	UBERON:0008952	ENSG00000159189.12	C1QC	335.385824172185	0.0615388333625501	-0.247531286138454
Brain Amygdala	UBERON:0001876	ENSG00000173369.17	C1QB	55.2681501104972	0.0077202525465639	-0.0541740639468732
Brain Cortex	UBERON:0001870	ENSG00000173369.17	C1QB	29.4119498518519	0.00410847260654091	-0.0325686106573822
Kidney Medulla	UBERON:0001293	ENSG00000173369.17	C1QB	30.6232518181818	0.00427767597360712	-0.0336608486368333
Uterus	UBERON:0000995	ENSG00000173369.17	C1QB	57.7946695424837	0.0080731749447216	-0.0561299446793309
Skin Not Sun Exposed Suprapubic	UBERON:0036149	ENSG00000173369.17	C1QB	22.8699525652842	0.00319463939319358	-0.0264839796866779
Whole Blood	UBERON:0013756	ENSG00000173369.17	C1QB	72.8420742465753	0.0101751046140462	-0.0673471102423801
Kidney Cortex	UBERON:0001225	ENSG00000173369.17	C1QB	60.037325	0.00838644518214298	-0.0578473914961667
Brain Frontal Cortex BA9	UBERON:0009834	ENSG00000173369.17	C1QB	39.1630242750929	0.00547057278534648	-0.0411063893311903
Vagina	UBERON:0000996	ENSG00000173369.17	C1QB	50.5096272352941	0.00705554786092269	-0.050426185224783
Prostate	UBERON:0002367	ENSG00000173369.17	C1QB	87.5317530851064	0.012227064562672	-0.0776880550734481
Esophagus Mucosa	UBERON:0006920	ENSG00000173369.17	C1QB	35.9929218892508	0.0050277500932854	-0.0383912528569133
Liver	UBERON:0001114	ENSG00000173369.17	C1QB	54.902434389313	0.00766916674539005	-0.053889044767574
Pituitary	UBERON:0000007	ENSG00000173369.17	C1QB	95.9260490095847	0.0133996401664871	-0.083368031108355
Thyroid	UBERON:0002046	ENSG00000173369.17	C1QB	71.1909690350877	0.00994446636782038	-0.0661494996522029
Esophagus Muscularis	UBERON:0004648	ENSG00000173369.17	C1QB	119.678681871658	0.0167175786893868	-0.0986753457476013
Brain Spinal cord cervical c-1	UBERON:0006469	ENSG00000173369.17	C1QB	198.701256617647	0.027756020046643	-0.143527919453808
Brain Putamen basal ganglia	UBERON:0001874	ENSG00000173369.17	C1QB	42.4961455511811	0.00593616712798829	-0.0439053914013752
Adipose Visceral Omentum	UBERON:0010414	ENSG00000173369.17	C1QB	367.011802197615	0.0512668470877042	-0.219720992027517
Nerve Tibial	UBERON:0001323	ENSG00000173369.17	C1QB	160.25875	0.0223860943477038	-0.122703854489868
Ovary	UBERON:0000992	ENSG00000173369.17	C1QB	68.9031132642487	0.00962488222567562	-0.064477234227145
