pathway	name	entropy	category	subcategory
04082	Neuroactive ligand signaling	4.13469454873913	Environmental Information Processing	Signaling molecules and interaction
04110	Cell cycle	4.63706679283468	Cellular Processes	Cell growth and death
04114	Oocyte meiosis	4.54220832976791	Cellular Processes	Cell growth and death
04115	p53 signaling pathway	4.67072171932908	Cellular Processes	Cell growth and death
04120	Ubiquitin mediated proteolysis	5.15413665849594	Genetic Information Processing	Folding, sorting and degradation
04122	Sulfur relay system	5.34768586000338	Genetic Information Processing	Folding, sorting and degradation
04130	SNARE interactions in vesicular transport	5.1865575387426	Genetic Information Processing	Folding, sorting and degradation
04136	Autophagy - other	5.32223735536063	Cellular Processes	Transport and catabolism
04137	Mitophagy - animal	5.24888033962573	Cellular Processes	Transport and catabolism
04140	Autophagy - animal	5.14728131618036	Cellular Processes	Transport and catabolism
04141	Protein processing in endoplasmic reticulum	5.01488453980062	Genetic Information Processing	Folding, sorting and degradation
04142	Lysosome	4.99357762468633	Cellular Processes	Transport and catabolism
04144	Endocytosis	4.9990707918673	Cellular Processes	Transport and catabolism
04145	Phagosome	4.35535006250029	Cellular Processes	Transport and catabolism
04146	Peroxisome	4.93635738841717	Cellular Processes	Transport and catabolism
04148	Efferocytosis	4.76292658842378	Cellular Processes	Transport and catabolism
04150	mTOR signaling pathway	4.96907690204364	Environmental Information Processing	Signal transduction
04151	PI3K-Akt signaling pathway	4.52783528693514	Environmental Information Processing	Signal transduction
04152	AMPK signaling pathway	4.73603876533651	Environmental Information Processing	Signal transduction
04156	Integrated stress response (ISR) signaling pathway	5.04242245984958	Cellular Processes	Cell growth and death
04210	Apoptosis	4.81119059026909	Cellular Processes	Cell growth and death
04211	Longevity regulating pathway	4.87300861457672	Organismal Systems	Aging
04213	Longevity regulating pathway - multiple species	4.83566029695207	Organismal Systems	Aging
04215	Apoptosis - multiple species	4.85796225873526	Cellular Processes	Cell growth and death
04216	Ferroptosis	4.78668511819429	Cellular Processes	Cell growth and death
04217	Necroptosis	4.73820090303801	Cellular Processes	Cell growth and death
