Adipose Subcutaneous	Adipose Visceral Omentum	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex BA24	Brain Caudate basal ganglia	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex BA9	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens basal ganglia	Brain Putamen basal ganglia	Brain Spinal cord cervical c-1	Brain Substantia nigra	Breast Mammary Tissue	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
Alanine, aspartate and glutamate metabolism	38.9715889162692	40.8446847248953	20.3808074557948	25.7414595819973	25.7079240248084	28.3323391774553	26.6235943980344	30.0129373495595	40.6735138394618	33.3746382207207	34.4307882749537	34.0217684616948	41.2713149149149	46.1484048045815	25.0128045172231	31.7026776958671	38.0409992413466	29.3365238901894	25.7404240898251	28.9483794284448	35.5650002119045	24.7542602027027	22.7277278730905	18.7670251177192	21.6222054381312	23.8265819743813	21.7692711598732	25.0693370964012	26.4095787884436	21.0513192835786	21.9771446023679	33.968413781185	33.3870139312039	108.360415663297	26.2910845605871	25.1645562520532	49.2226869837441	46.7754319721662	30.4209799943985	11.0615269777512	22.8101308565754	24.5383105079548	22.1392512031386	23.1114178661553	22.8695396122209	18.2912011259635	27.7142737366359	29.7059632634809	27.3803501323692	24.2321607719484	27.8100509189189	10.894285516812
Alcoholic liver disease	64.53270849905	72.2746948628203	41.7766791037098	42.1572097657639	47.3378952525832	35.1398215664943	37.1124466733267	15.9287917080709	15.0621707254119	14.6192189641026	24.6799244497741	25.297038117146	16.1889722745403	17.3185500894273	15.024109059372	16.5467102723735	14.3488791728622	13.1870050371676	29.7852321938845	18.5674198463831	52.2856428393785	29.7860520804196	31.9740941349954	31.7033705951566	35.3599214968539	32.2776779484287	30.1349910429147	32.5186775141792	42.3984689028213	19.1825087273031	13.4045696235844	19.4560942240452	22.8066640559441	97.1682712547376	55.5937913044737	28.9296396650311	21.3257553374254	43.8664193070661	37.0467518381101	12.7377693244601	30.111398489019	31.3272037625849	28.982227119762	29.1038292009052	37.1585284889024	65.5769695771377	25.259728952939	20.2662748440931	35.3040615700528	35.1910635833448	33.0010885886466	34.4783137176149
Alcoholism	29.6965908443167	29.4265077571057	22.5937628362177	39.1046819548394	34.7123851459152	39.7686239274888	30.5016407751196	26.4923808519919	33.2467977996386	35.3996319680702	46.8637957978339	42.2093904964385	33.5953157530214	41.3649304750538	25.4364131339525	28.9354465787426	38.1783608729455	31.2313972370493	25.8119004458204	23.7219533511648	29.8199759763465	34.9480068070175	35.4272032700229	33.4803009752544	27.3749672589825	31.5701988704453	26.6553565690897	31.7654530544141	36.9849759945554	14.4922567718918	11.0384990019795	15.4999129296559	21.278695076555	12.7485502153475	34.173845469153	26.7414633849956	16.8323317920474	35.0868283583661	38.6465639383692	9.87215464277406	33.8915169752817	34.5575877310564	48.9281865449915	52.0510097207874	27.2439075354691	29.144183466464	22.1185269053408	27.9332126717518	32.2306809678363	36.4096492026144	35.7090856250774	30.1267099267877
Aldosterone synthesis and secretion	39.8087680337849	41.87176848173	146.391743054306	50.5849321210221	46.3461010211697	53.8406471229215	37.0090169533528	44.2990167476604	59.2040225107296	45.4038411207483	74.5175117258528	67.9555688069664	61.8887455827664	76.9025288783097	45.2135015282113	43.4948436377353	51.3223600257787	38.3535551353849	32.5900655467187	33.9596829223821	36.6947438974033	36.1992489923469	38.3488316282165	46.1218042491842	35.1087912871203	41.2281866202461	25.897816906867	41.1335310422351	46.1185967945109	363.688513059454	20.0363006160827	19.903125364011	26.9240006864564	20.0313182248014	40.1975925359846	33.9353360333747	29.1533451975949	48.3314718347548	60.381400305065	10.8337253455857	473.21412871748	35.723525196121	64.5003841504436	75.426011373085	36.0710518253968	29.988125686289	27.537377978238	32.8132657364685	43.782819610037	43.5279334840603	39.0328576590636	16.8029008508908
Aldosterone-regulated sodium reabsorption	24.7744372643652	28.9025023385055	21.8051346852955	24.6984312769125	25.2489813281565	24.3621594618062	23.4918149315549	37.926361812752	47.2254982658624	44.4776237981982	59.6192535135135	59.7582437604146	51.1114454634635	58.12300945745	34.9652423720191	35.2415510653066	46.0781638425794	37.370954147691	24.2209020945946	33.3443146389012	27.3257229456305	53.6308506644144	27.868225440658	23.4163274469458	41.66865827343	21.8824069237476	122.630803810195	21.3901612260924	26.5201784622554	16.0662342926658	15.9112318853145	45.8470362733888	73.1808714987715	10.1964534939138	41.3473466220691	49.7953941182619	29.605156094958	37.2553460814845	32.5094443201232	112.304138547111	25.0133932095674	30.6187476979107	81.5840385531614	79.3065649344039	40.2270013500457	21.6030676417211	23.6704888325918	19.5215728247813	39.6347491291291	28.3294074898428	66.1286583036566	13.3430099145098
Allograft rejection	236.084042473934	188.331792047606	116.879239996234	150.684277942561	175.903531328773	120.256695970815	134.299603102453	26.0153797344997	20.2996642393896	27.1938472601852	20.5816249247894	21.3582230221387	21.4114722191358	22.8520007042544	27.1160941132898	35.9123054290964	23.2560982923977	26.5216810017498	78.2530074891067	44.6272201654523	196.844860044315	148.153555555556	161.020957004831	93.4336348335985	145.752590379842	89.1423475523849	82.6490739273435	84.1696195127748	157.996879243295	54.1656172101711	39.7385803097345	119.395500435363	119.926774166667	48.4932751940204	477.422773858076	97.5463982397176	27.1705733499728	187.130670019486	87.8591648675878	25.4250703146102	93.4567174937877	121.934614318361	159.928438875661	161.363222171014	267.279565594471	538.56728270357	89.7505633073983	34.8781119961084	178.925928145305	179.819937107843	147.729815330065	696.027600034246
Alzheimer disease	826.749529793052	899.174568376189	1216.11136116225	465.895719692686	610.564722367557	523.539605716767	829.116863749662	1444.98687705959	1410.8087855196	1482.92697858021	1029.13086072606	1082.89800359473	1398.90204938802	1260.68079407199	1484.39228045803	1396.01312346729	1398.0107589047	1535.23920002338	1154.08072089869	1380.69837961621	872.308265338086	473.666394057075	562.788999249321	889.55450068218	1030.46915000636	958.378107769205	570.450943651092	969.085576247261	586.183467420079	1399.0462990107	1674.66995575682	1441.16273970453	1153.05952223722	1155.70425902155	578.780855603313	654.755823008029	1125.22649777337	598.263411511816	455.803072172388	342.089059205442	619.880357173107	877.949421904366	788.560431135112	732.245753502259	939.939657949879	568.490997330494	1034.07071974489	744.683676437827	737.392128273255	553.774895791292	507.83054402405	159.45698965961
Amino sugar and nucleotide sugar metabolism	32.6395114175144	34.6823424401506	25.3370346226583	33.8928426622435	32.884245886685	31.1314314525097	29.0666402392345	11.7982515338761	15.7414099751525	13.3682758570175	26.5500293701311	26.3176930945786	19.1149619873294	20.3506572872236	11.17355250258	14.4956791603522	14.8177723591874	11.5719165944882	12.5681804437565	12.1643324532643	28.6279500404464	29.1394710635965	30.2587161670481	25.3006724450446	27.7019249681354	25.0511918244743	27.8164193772501	25.4783706304531	29.1835808076225	18.8767753173878	14.9449339264089	18.3125621963563	22.2553123684211	22.8561057181599	33.5210747063437	26.9364166371038	29.8717637022262	29.4654884815397	29.3147270466321	11.9773208774353	27.491228847318	26.5484338251213	22.2139935819387	23.6667523569035	25.9434046427663	32.1660165874976	29.0293247290832	27.4369399930079	29.8193387399969	27.9813567268662	29.7451254102167	29.9303398984073
Aminoacyl-tRNA biosynthesis	31.1246312681436	28.5167644076196	28.4238017126348	31.4563727749422	31.0073037415197	32.1464350039468	32.4099145779221	14.073757112004	18.610009527897	16.6735583492424	34.452892993108	33.1832721505468	23.1112156860269	25.8409173927002	14.5741835588235	19.4882398797312	17.779207284689	14.8442402308518	20.4661382319519	17.0154996882762	30.5197809117439	32.5649687121212	35.6625488932806	29.8751960604253	27.7503171341811	28.0085725930521	31.3445057432633	29.1798787676228	34.7548155485893	16.3893145267206	14.0651828399035	17.9074928277972	25.0592785950413	15.3701551266482	36.3543570567429	28.0325534756404	25.0337505387308	36.7625733751696	33.7043818558643	15.0174390921647	33.5086752432472	29.8201034171502	30.1994008839548	32.2936775207982	28.2816536923584	32.0157311724647	25.8818357873576	33.531177944664	36.9113875591441	36.9265612834225	31.8936891377005	12.5914468170497
Amoebiasis	66.8936095586155	68.4379935490074	35.8636414079544	187.572725631608	153.940513118812	144.037653983465	77.5267459791693	17.0196848640665	19.0663548502103	17.2022278867987	23.4308891929085	22.5298865625698	20.2950916740007	23.141687212632	16.2541754513687	21.0868049150518	17.0212967556019	14.8806064757932	23.7915842642205	19.4912267342964	55.4278029491081	129.616980057756	119.708049853638	86.0476869599943	56.0124752963062	77.8586337756431	102.554680249137	86.3248168089162	84.3322645544554	44.4635010502352	31.1192095023219	28.4619754369764	36.5408580648065	41.9386747596554	90.929652422792	46.8138092855971	37.2278602487351	59.2616361579725	66.9281198779049	13.5458462141021	37.9394707873343	57.4164359995787	62.1613031097626	66.0459650002626	46.9301110235806	44.7181699063516	40.9421938411949	22.6049728224996	56.3454247972034	111.926158166052	122.399891425743	57.9786839391884
