Adipose Subcutaneous	Adipose Visceral Omentum	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex BA24	Brain Caudate basal ganglia	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex BA9	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens basal ganglia	Brain Putamen basal ganglia	Brain Spinal cord cervical c-1	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV-transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
Allograft rejection	0.0177896453146473	0.0451151709427476	0.0215251468495816	0.0247895725237508	0.0271786173227192	0.0119414435021739	0.0163578130051943	0.00333360283489907	0.00236173766979732	0.00477120481551839	0.00110919191855199	0.0011860497826486	0.00245314727103151	0.0026322608873679	0.00290036637731097	0.0036788577797156	0.00295238449353713	0.00339381199684192	0.00917622854163442	0.00459691774977895	0.0152531592176476	0.0175981060231731	0.086022467627081	0.0229384725335847	0.0185674030997123	0.0130935670863033	0.0183794579060451	0.0128378751755148	0.0116866357854816	0.0119363377705614	0.029598674663047	0.00959267555092474	0.00343780208688582	0.00888787486048589	0.00631746578786696	0.0112135238097439	0.058781173258933	0.0098449446688951	0.00148748261136959	0.0147313628569243	0.0247819466766358	0.00255666327240334	0.0172697407100848	0.0161440616244266	0.0096835869858991	0.00714919474049712	0.0285545324287055	0.142311801072926	0.0128816605025174	0.0164183005524696	0.0187994230115758	0.0191625911186505	0.0188336187855636	0.0740032445580154
Alzheimer disease	0.0274698216246472	0.0259072643381593	0.0316380298892776	0.0255442997685962	0.0259763035781773	0.0204072834279118	0.021394419715521	0.00903126424547409	0.00700726024606283	0.0112721231353948	0.0109544431003181	0.0124626540660388	0.00720556409096626	0.00723024048606213	0.00683003265379397	0.00877346427241877	0.0109649215131827	0.00967817405665413	0.010376601203075	0.0123154483754289	0.0226162568127829	0.0304097386796518	0.03846406545597	0.022950564748658	0.0240479380658966	0.0165436571918249	0.0170228006395464	0.0167618875512328	0.0156947755264615	0.0162306138404785	0.0252378794269549	0.00825756857286773	0.00430743620191917	0.0118585148988803	0.0108833480225474	0.0224871943822238	0.0400238294281938	0.0146597273364461	0.00571528346996234	0.0243321710397188	0.027537665598173	0.00490259614877281	0.0113161574099002	0.0185794748625315	0.0179995556143263	0.0179161424309695	0.0278961518156328	0.0454196984720363	0.011899456233432	0.00955002594566648	0.0213185615669892	0.0251672939600783	0.0223228678121854	0.0472294870499277
Amoebiasis	0.0264988949961555	0.0398751608068723	0.014612236223674	0.0333381699642245	0.0307441865482676	0.0175077439228685	0.0184264889460273	0.00385966738473307	0.0027448165348438	0.00393099992814458	0.00402970053144575	0.00400348133480146	0.00278789906075449	0.00289507421755294	0.00375723932193518	0.00500441037682429	0.0031505780244276	0.00307780904964861	0.0119953921786074	0.00659940377816386	0.0160814503199337	0.0145002655247304	0.0759782352810026	0.0164042126194084	0.0177219643656368	0.0157386435570727	0.0143939434598324	0.0148703054480314	0.0120015207184612	0.0138860849291568	0.022290831186201	0.00947643537627844	0.00389884684523736	0.0078700286851818	0.00820029097840641	0.0051408905329865	0.0477262762778947	0.0112989611258439	0.00348542213546921	0.0180457536670874	0.0120452994928317	0.00363782821841346	0.0128590197891542	0.0129545636177154	0.0105286002962329	0.0112426805656262	0.0213474719834571	0.0835038298058967	0.010488588437777	0.0120711097275433	0.0129641531371954	0.0161819788841577	0.0159324266767375	0.176392733203436
Amyotrophic lateral sclerosis	0.0246708894430115	0.0294916430761404	0.0161979745661631	0.0217019159666995	0.0255058723913242	0.0170951865758483	0.0243492032272801	0.00324612950463402	0.00245104264744084	0.00319475899608026	0.00158011221532879	0.00209986935093345	0.00280330161043227	0.00253776659946585	0.00296752777130141	0.00358246722518165	0.00258546913263006	0.00265963436071327	0.00753648390467461	0.00489481139184432	0.0246262202225829	0.0252034436867371	0.0206327815733264	0.024974738179074	0.021440784669242	0.0208944773972301	0.027028804008378	0.0187435766292961	0.0227780679236644	0.0180148153639238	0.0239319736748724	0.00825609322721904	0.00498441437251772	0.0121898583799939	0.0122085718812379	0.0113769311463509	0.0555346180793949	0.0165780773745947	0.00585109423746047	0.0275246775391578	0.0196461455234536	0.00424385602607655	0.0111589418327894	0.0214199465543385	0.0249095561789787	0.0220462598753501	0.0466053410703835	0.0702858311855098	0.0133460086937165	0.00462765135869737	0.0211843595969336	0.024168418220457	0.0289982891352748	0.083433315224658
Antifolate resistance	0.0250868838575177	0.0222469545676072	0.0182338643250051	0.0240165189224134	0.0224877323403092	0.0226981523082503	0.0263775218317237	0.00486299626321232	0.00519323698675707	0.00555989390065713	0.0160954980645893	0.0176071910994122	0.00713272247875739	0.00699749998448442	0.00529278999937148	0.00571471273455938	0.0053154587965436	0.00499419404750839	0.00908547692598907	0.00615522892623743	0.0246453942982458	0.0251218278905401	0.0468718041891858	0.026901301126314	0.0281849632494627	0.0200977726338993	0.0184410179108995	0.0206458356126011	0.0210109644683103	0.0205728777106114	0.0288990157720208	0.00850454784151477	0.00537446189328504	0.0110934790085162	0.0150057518576078	0.011901366451823	0.0311523366927444	0.019192206844056	0.0104173320078565	0.0278776027103426	0.0234613232518985	0.0072602320553576	0.0150912170128238	0.0252593484224335	0.0235712864723852	0.0251179506081477	0.0240836046165606	0.0349348497901993	0.0159659792347827	0.0152867227615872	0.0278882971457729	0.0296899770113206	0.0259370728649758	0.023385750221012
Apelin signaling pathway	0.0313870785301026	0.0265667658704739	0.0123526763659036	0.0348388421885645	0.0296402975639326	0.0319252819072128	0.0218401852452136	0.0108893939258461	0.00987754082434225	0.00924141067179238	0.00681428236358808	0.00768542730736201	0.0105881937962148	0.0104864718600027	0.00965683393273009	0.0125478416200074	0.0096885755670993	0.00825772769267995	0.0247992305792417	0.0129202457882938	0.0244791972160568	0.0307150502080709	0.0270953262418666	0.0221094781959762	0.0271521764824852	0.0230917743301412	0.0147374396554806	0.0228369605948161	0.0102076926680316	0.0222795149722769	0.0269425662808495	0.00928396446402594	0.00692345577261345	0.0090839686585122	0.0120510932499714	0.0067190314946386	0.0387788724017866	0.00969396118571215	0.00409090700369427	0.031915822575774	0.0220221902214821	0.0029028557613079	0.0186893418594158	0.017599904722883	0.0106294250468556	0.0120149525776535	0.0161442427679627	0.032110698425011	0.0101914635803261	0.0125446293943334	0.0206060205901347	0.0273122250949164	0.0204930331944087	0.0645464595099252
Apoptosis	0.0262893015933604	0.0269227564522979	0.0184967844187747	0.0297334210327432	0.0265199310241676	0.0264031224734678	0.0230421498810192	0.00426280835392158	0.00403797376275022	0.00536677961167832	0.00678966832938905	0.00754093790996298	0.00495135562939398	0.00506317076131909	0.00425371270055435	0.00473183892826088	0.00432266030072395	0.00448591584072832	0.00722849020452945	0.00526871661216956	0.0236673025726176	0.0256354409459652	0.0348170651030419	0.0257177879301494	0.0256456446785067	0.0162696008088925	0.0181015101372076	0.0171471414475349	0.0187236496611755	0.0169235659074909	0.0271380810250749	0.00822613626867436	0.00502858606729229	0.0136384927105849	0.0137293581482526	0.0127369775950251	0.0461412766237599	0.0159449673216414	0.0108109478211256	0.026036247328032	0.025728350000754	0.00542828177383034	0.0124147129818419	0.0207731849235842	0.021260396425586	0.0211313447910115	0.0286420209589146	0.0650815154683635	0.0149093654952438	0.00957263635295307	0.025344161731578	0.0268712950728358	0.0249580322448923	0.0500934258553531
Apoptosis - multiple species	0.0290361756510143	0.029490563397175	0.0216356792997345	0.0242112931614614	0.0262950589239423	0.0197908174131284	0.0257964365214748	0.00263538316740836	0.00225074374432667	0.00282759251460401	0.00164497319166634	0.00212440174658432	0.00270029331594931	0.00237463382328225	0.00250345155550569	0.00290128863076119	0.00239889798206602	0.00209708171625476	0.00426560803731383	0.00333094728028493	0.0257722750411099	0.0338462239025982	0.0151072234792293	0.0242943298886362	0.0245353079264197	0.0194900657669242	0.0223014426335534	0.0192401503402199	0.0230552269137446	0.0187682220061282	0.0269113346393933	0.0075834800096286	0.00433634154803108	0.0137260907694615	0.0135584856575383	0.013473448178098	0.0440756962052208	0.0177806093388866	0.00602219546121451	0.0242209408349909	0.0197607287158856	0.00637202613110033	0.0120151658690568	0.0206258232926264	0.0213994335335248	0.0217615756930034	0.0453417804269219	0.0621317106543352	0.0158266720629057	0.00755869352678768	0.026051756029964	0.0260165952439364	0.0261025230595924	0.0806251041453936
Arachidonic acid metabolism	0.0105377357651972	0.205573819507026	0.0115893489012936	0.0101406482998168	0.0166490486321696	0.00891280171610481	0.0447880972830232	0.00259365179381474	0.00235533353031082	0.00506932859882869	0.0103111260795733	0.0108150217035619	0.00352001434406359	0.00333611448162149	0.00334693602926994	0.00464402532940847	0.00522666218184729	0.00362530892533426	0.00812300224689839	0.00398090080266818	0.0140369487389749	0.00431396768402503	0.0235622759876739	0.0146503457297845	0.0152070108855073	0.0274143068935824	0.0166177506188781	0.0085452165434068	0.0144245158483222	0.00707200491141542	0.0273260772575755	0.0146933784581978	0.00232069085851879	0.00826215642694665	0.015161147873404	0.00157148169796143	0.0726273662806118	0.0131277904907271	0.000945686790678413	0.0108355686333948	0.00816769212247744	0.00505598883574367	0.0211460321753432	0.0155521222590865	0.014146441346252	0.013685016023218	0.023731602817111	0.0415961628155549	0.00894184339761044	0.0171012357284633	0.00721873538656785	0.0148661260698502	0.0180017639776142	0.102934622283688
Asthma	0.027355123805851	0.0908157257051994	0.021680821766382	0.0395535185499154	0.0343915783875126	0.00597148222818556	0.0151733043920707	0.00338279573538821	0.00198973710369286	0.00320181389004541	0.0011938139198198	0.000936343395262057	0.00163242405940728	0.00189041931555427	0.00298171479532082	0.00524605679142664	0.00200309969383108	0.00237799638148891	0.0135974766904448	0.00646295685785332	0.017568428722008	0.000168000449489463	0.159899563309099	0.007694533975159	0.00574920229061499	0.0195227676087619	0.0187016923731871	0.018693104325714	0.00660992169487233	0.0156184994908001	0.0334198735267924	0.0155307528769092	0.00358335265330524	0.00486760382497267	0.00283361533481177	0.00573494629393885	0.0400774849202886	0.00707716171390046	0.00114595166074923	0.0136575956327124	0.0123184116085764	0.00193669851112922	0.0329716629709935	0.00749545531040033	0.00516059999173835	0.00381840918110589	0.0231920542469266	0.117483019304795	0.0138927891245043	0.0367765472567717	0.0094956662428722	0.00627717610216007	0.0101947222660985	0.0389945317391893
