ENSG.ID	Gene.symbol	Label
ENSG00000176788	BASP1	inflammatome
ENSG00000073861	TBX21	inflammatome
ENSG00000104998	IL27RA	inflammatome
ENSG00000109805	NCAPG	inflammatome
ENSG00000012223	LTF	inflammatome
ENSG00000131378	RFTN1	inflammatome
ENSG00000111331	OAS3	inflammatome
ENSG00000130487	KLHDC7B	inflammatome
ENSG00000135114	OASL	inflammatome
ENSG00000174946	GPR171	inflammatome
ENSG00000124508	BTN2A2	inflammatome
ENSG00000153563	CD8A	inflammatome
ENSG00000079931	MOXD1	inflammatome
ENSG00000148773	MKI67	inflammatome
ENSG00000169248	CXCL11	inflammatome
ENSG00000166750	SLFN5	inflammatome
ENSG00000234745	HLA-B	inflammatome
ENSG00000113368	LMNB1	inflammatome
ENSG00000196954	CASP4	inflammatome
ENSG00000188820	CALHM6	inflammatome
ENSG00000204262	COL5A2	inflammatome
ENSG00000146232	NFKBIE	inflammatome
ENSG00000163823	CCR1	inflammatome
ENSG00000184584	STING1	inflammatome
ENSG00000167895	TMC8	inflammatome
ENSG00000186827	TNFRSF4	inflammatome
ENSG00000140368	PSTPIP1	inflammatome
ENSG00000167077	MEI1	inflammatome
ENSG00000137965	IFI44	inflammatome
ENSG00000111801	BTN3A3	inflammatome
ENSG00000198286	CARD11	inflammatome
ENSG00000180644	PRF1	inflammatome
ENSG00000118503	TNFAIP3	inflammatome
ENSG00000164111	ANXA5	inflammatome
ENSG00000056558	TRAF1	inflammatome
ENSG00000132530	XAF1	inflammatome
ENSG00000125730	C3	inflammatome
ENSG00000122224	LY9	inflammatome
ENSG00000162692	VCAM1	inflammatome
ENSG00000078589	P2RY10	inflammatome
ENSG00000136490	LIMD2	inflammatome
ENSG00000135604	STX11	inflammatome
ENSG00000091106	NLRC4	inflammatome
ENSG00000134871	COL4A2	inflammatome
ENSG00000129450	SIGLEC9	inflammatome
ENSG00000124102	PI3	inflammatome
ENSG00000100060	MFNG	inflammatome
ENSG00000150637	CD226	inflammatome
ENSG00000101057	MYBL2	inflammatome
ENSG00000151883	PARP8	inflammatome
ENSG00000059377	TBXAS1	inflammatome
ENSG00000131323	TRAF3	inflammatome
ENSG00000112343	TRIM38	inflammatome
ENSG00000165304	MELK	inflammatome
ENSG00000196154	S100A4	inflammatome
ENSG00000089692	LAG3	inflammatome
ENSG00000141480	ARRB2	inflammatome
ENSG00000105939	ZC3HAV1	inflammatome
ENSG00000204291	COL15A1	inflammatome
ENSG00000107968	MAP3K8	inflammatome
ENSG00000120280	TASL	inflammatome
ENSG00000115523	GNLY	inflammatome
ENSG00000169413	RNASE6	inflammatome
ENSG00000235568	NFAM1	inflammatome
ENSG00000164054	SHISA5	inflammatome
ENSG00000079263	SP140	inflammatome
ENSG00000111145	ELK3	inflammatome
ENSG00000163874	ZC3H12A	inflammatome
ENSG00000124731	TREM1	inflammatome
ENSG00000072818	ACAP1	inflammatome
ENSG00000204264	PSMB8	inflammatome
ENSG00000064012	CASP8	inflammatome
ENSG00000160326	SLC2A6	inflammatome
ENSG00000163564	PYHIN1	inflammatome
ENSG00000240065	PSMB9	inflammatome
ENSG00000204516	MICB	inflammatome
ENSG00000123342	MMP19	inflammatome
ENSG00000163599	CTLA4	inflammatome
ENSG00000131747	TOP2A	inflammatome
ENSG00000160710	ADAR	inflammatome
ENSG00000107099	DOCK8	inflammatome
ENSG00000145779	TNFAIP8	inflammatome
ENSG00000169679	BUB1	inflammatome
ENSG00000159840	ZYX	inflammatome
ENSG00000166741	NNMT	inflammatome
ENSG00000091490	SEL1L3	inflammatome
ENSG00000163508	EOMES	inflammatome
ENSG00000089127	OAS1	inflammatome
ENSG00000105329	TGFB1	inflammatome
ENSG00000093072	ADA2	inflammatome
ENSG00000029153	BMAL2	inflammatome
ENSG00000136048	DRAM1	inflammatome
ENSG00000174175	SELP	inflammatome
ENSG00000126787	DLGAP5	inflammatome
ENSG00000162777	DENND2D	inflammatome
ENSG00000134242	PTPN22	inflammatome
ENSG00000138135	CH25H	inflammatome
ENSG00000038427	VCAN	inflammatome
ENSG00000109861	CTSC	inflammatome
ENSG00000171700	RGS19	inflammatome
ENSG00000197622	CDC42SE1	inflammatome
ENSG00000231389	HLA-DPA1	inflammatome
ENSG00000151702	FLI1	inflammatome
ENSG00000172936	MYD88	inflammatome
ENSG00000077420	APBB1IP	inflammatome
ENSG00000197471	SPN	inflammatome
ENSG00000089639	GMIP	inflammatome
ENSG00000163430	FSTL1	inflammatome
ENSG00000146112	PPP1R18	inflammatome
ENSG00000134013	LOXL2	inflammatome
ENSG00000186407	CD300E	inflammatome
ENSG00000059378	PARP12	inflammatome
ENSG00000132109	TRIM21	inflammatome
ENSG00000143297	FCRL5	inflammatome
ENSG00000147168	IL2RG	inflammatome
ENSG00000163519	TRAT1	inflammatome
ENSG00000159399	HK2	inflammatome
ENSG00000111252	SH2B3	inflammatome
ENSG00000171631	P2RY6	inflammatome
ENSG00000147251	DOCK11	inflammatome
ENSG00000100034	PPM1F	inflammatome
ENSG00000106948	AKNA	inflammatome
ENSG00000168961	LGALS9	inflammatome
ENSG00000002549	LAP3	inflammatome
ENSG00000010610	CD4	inflammatome
ENSG00000005302	MSL3	inflammatome
ENSG00000231925	TAPBP	inflammatome
