featurecounts_Percent_Assigned_	featurecounts_Percent_Duplicates	featurecounts_Percent_Assigned_O	featurecounts_Percent_Assigned_M	featurecounts_Percent_Assigned_MO	sra_study_acc	bio_project_acc	Tissue	Tissue_subtype	Disease	Disease_subtype	Treated	biotype_transcribed_unprocessed_pseudogene	biotype_unprocessed_pseudogene	biotype_miRNA	biotype_lncRNA	biotype_protein_coding	biotype_processed_pseudogene	biotype_snRNA	biotype_transcribed_processed_pseudogene	biotype_misc_RNA	biotype_TEC	biotype_transcribed_unitary_pseudogene	biotype_snoRNA	biotype_scaRNA	biotype_rRNA_pseudogene	biotype_unitary_pseudogene	biotype_polymorphic_pseudogene	biotype_pseudogene	biotype_rRNA	biotype_IG_V_pseudogene	biotype_scRNA	biotype_IG_V_gene	biotype_IG_C_gene	biotype_IG_J_gene	biotype_sRNA	biotype_ribozyme	biotype_translated_processed_pseudogene	biotype_vault_RNA	biotype_TR_C_gene	biotype_TR_J_gene	biotype_TR_V_gene	biotype_TR_V_pseudogene	biotype_translated_unprocessed_pseudogene	biotype_TR_D_gene	biotype_IG_C_pseudogene	biotype_TR_J_pseudogene	biotype_IG_J_pseudogene	biotype_IG_D_gene	biotype_IG_pseudogene	biotype_Mt_tRNA	biotype_Mt_rRNA	fastqc_total_sequences_1	fastqc_poor_sequences_1	fastqc_mean_read_quality_1	fastqc_percent_duplication_1	fastqc_total_sequences_2	fastqc_poor_sequences_2	fastqc_mean_read_quality_2	fastqc_percent_duplication_2	markdup_unpaired_reads_examined	markdup_read_pairs_examined	markdup_secondary_or_supplementary_rds	markdup_unmapped_reads	markdup_unpaired_read_duplicates	markdup_read_pair_duplicates	markdup_read_pair_optical_duplicates	markdup_percent_duplication	markdup_estimated_library_size	rseqc_read_distribution_total	rseqc_read_distribution_CDS_Exons	rseqc_read_distribution_5'UTR_Exons	rseqc_read_distribution_3'UTR_Exons	rseqc_read_distribution_Introns	rseqc_read_distribution_TSS_up_1kb	rseqc_read_distribution_TSS_up_5kb	rseqc_read_distribution_TSS_up_10kb	rseqc_read_distribution_TES_down_1kb	rseqc_read_distribution_TES_down_5kb	rseqc_read_distribution_TES_down_10kb	trimgalore_total_sequences_1	trimgalore_num_adapter_containing_sequences_1	trimgalore_percent_adapter_containing_sequences_1	trimgalore_percent_bad_quality_bases_1	trimgalore_num_removed_shorter_20bp_1	trimgalore_percent_removed_shorter_20bp_1	trimgalore_total_sequences_2	trimgalore_num_adapter_containing_sequences_2	trimgalore_percent_adapter_containing_sequences_2	trimgalore_percent_bad_quality_bases_2	trimgalore_num_removed_shorter_20bp_2	trimgalore_percent_removed_shorter_20bp_2	star_nreads_input	star_average_read_length	star_number_uniquely_mapped_reads	star_percent_uniquely_mapped_reads	star_average_mapped_length	star_number_total_splices_unique_reads	star_number_sjdb_annotated_splices_unique_reads	star_number_gt_ag_splices_unique_reads	star_number_gc_ag_splices_unique_reads	star_number_at_ac_splices_unique_reads	star_number_non_canonical_splices_unique_reads	star_percent_mismatch_rate_per_base_unique_reads	star_deletion_rate_per_base_unique_reads	star_average_deletion_length_unique_reads	star_insertion_rate_per_base_unique_reads	star_average_insertion_length_unique_reads	star_number_multimapping_reads	star_percent_multimapping_reads	star_number_unmapped_reads_too_many_loci	star_percent_unmapped_reads_too_many_loci	star_number_unmapped_reads_too_many_mismatches	star_percent_unmapped_reads_too_many_mismatches	star_number_unmapped_reads_too_short	star_percent_unmapped_reads_too_short	star_number_unmapped_reads_other	star_percent_unmapped_reads_other	star_number_chimeric_reads	star_percent_chimeric_reads	has_salmon_quantification	group
SRX680641	50.346	26.683	54.354	61.934	67.338	SRP045500	GSE60424	Blood	NA	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	31497	15963	591	219892	19517650	22339	151	8389	264	5931	7554	203	12	19	75	610	27	3	171	0	22509	98280	147	1	0	14	0	32503	600	10411	174	0	38	270	1	29	33	0	3078	248479	25010913	0	36.501770926955	55.4714717774245	25010913	0	35.6438649400764	36.3019673303888	24604	23327667	6938099	0	17939	7140152	0	0.306304	29852568	37892953	28443505	397747	7092779	1346060	15923	29499	39405	76038	184268	217859	25010913	8062711	32.2	2.6	NA	NA	25010913	8014845	32	3.2	966889	3.87	24044024	98	21628354	89.95	97.7	7800354	7791175	7729158	57178	5757	8261	0.2	0	1.39	0	1.21	1723917	7.17	4734	0.02	0	0	675551	2.81	11468	0.05	0	0	FALSE	Neurodegenerative
SRX966647	25.083	34.264	27.283	31.316	33.882	SRP056477	GSE67196	Brain	Cerebellum	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	65226	49748	1236	606131	30715504	24075	1287	14210	7768	21838	11977	817	51	174	312	390	42	25	7	172	37	146	0	0	5	5	0	679	35	30	7	41	0	11	0	0	0	0	14892	1456831	43032909	0	35.5533702822647	71.3660569392367	43032909	0	35.0941578455688	70.6405437858696	52579	42340845	41612346	0	37002	21619840	0	0.510734	25636901	50418725	31376849	382856	12058617	4943189	26747	75016	109427	116515	454020	645754	43032909	16872113	39.2	1.4	NA	NA	43032909	16610098	38.6	2.6	378973	0.88	42653936	195	38132867	89.4	195.94	14776646	14755974	14619844	123925	12048	20829	0.15	0.01	1.54	0.01	1.49	4260557	9.99	5617	0.01	0	0	232383	0.54	22512	0.05	0	0	FALSE	Neurodegenerative
SRX1304786	24.823	32.587	26.91	31.155	37.853	SRP064478	PRJNA297335	Spinal cord	NA	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	64879	14665	5173	1312024	27484238	85914	10835	15039	489201	28581	11154	30772	12455	810	390	1581	69	18	3	629	16	23	1	13	6	39	0	221	73	125	34	73	1	7	2	0	0	0	8566	15381130	86159146	0	32.7040003855191	49.855102574849	86159146	0	30.6354280600692	47.6092989617149	349036	77043574	32315810	0	218358	30284866	0	0.393613	70150228	115503531	57433729	979883	12513279	40444987	79630	252884	415798	177066	685853	981598	86159146	61663674	71.6	0.5	NA	NA	86159146	60550943	70.3	2.7	917934	1.07	85241212	255	70656128	82.89	251.89	29263503	29169054	28957394	202678	22057	81374	0.79	0.03	1.22	0.01	1.39	6736482	7.9	37317	0.04	0	0	7709123	9.04	102162	0.12	0	0	FALSE	Neurodegenerative
SRX1304793	17.526	44.152	19.115	28.619	34.866	SRP064478	PRJNA297335	Spinal cord	NA	Healthy	Healthy	0	45526	14756	1877	601523	17529704	44150	3407	9689	160581	15660	8870	7614	4612	324	230	600	46	9	6	221	165	905	3	3	7	12	0	213	55	133	28	47	0	31	0	1	0	0	15563	20632388	63210261	0	33.3571183798782	66.6387725942977	63210261	0	32.1762695458574	62.6063162894392	120084	58746966	37825817	0	87016	34265443	0	0.583416	27866069	62887880	36620387	650908	6058917	17490948	42875	124244	199543	89075	378784	528195	63210261	46555999	73.7	0.4	NA	NA	63210261	47225518	74.7	1.8	501308	0.79	62708953	254	51767900	82.55	252.59	22334812	22282893	22008836	274245	12413	39318	0.55	0.04	1.08	0	1.54	7099150	11.32	21687	0.03	0	0	3687657	5.88	132559	0.21	0	0	FALSE	Healthy
SRX966628	25.207	31.129	27.507	31.137	33.905	SRP056477	GSE67196	Brain	Frontal cortex	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	27832	83942	443	284590	25871676	9005	355	6424	4181	8909	5360	332	31	36	113	153	33	4	2	184	14	105	0	0	0	0	0	181	18	23	1	55	0	8	0	0	0	0	24362	4364365	38387295	0	34.9417677385187	75.2667811893736	38387295	0	34.5107048308561	72.5151591744862	35457	37580932	45944615	0	24967	18837383	0	0.501344	23483091	45880239	30821370	398997	11238481	2147550	19957	44867	61046	73110	389027	560680	38387295	16097952	41.9	1.5	NA	NA	38387295	15833470	41.2	3.6	596211	1.55	37791084	193	32781505	86.74	194.25	10412755	10396221	10229355	149888	9191	24321	0.18	0.01	1.25	0.01	1.5	4834884	12.79	2820	0.01	0	0	151910	0.4	19965	0.05	0	0	FALSE	Neurodegenerative
SRX834774	58.869	25.108	63.221	63.68	68.499	SRP051844	GSE64810	Brain	Prefrontal cortex	Healthy	Healthy	0	76440	68288	866	707936	35618903	18305	759	14449	908	20255	12665	649	13	93	286	272	53	6	5	1586	13	9	0	0	0	3	0	317	27	47	9	1027	0	5	0	0	0	0	7952	809551	42945058	0	36.2899716656571	54.2878974484235	42945058	0	35.59879290418	53.4218366766314	81598	41950333	4616605	0	56439	11077281	0	0.264473	64729697	78040698	51664322	682506	20351504	3802333	43646	109923	147039	148505	415502	523547	42945058	14980222	34.9	1	NA	NA	42945058	14775101	34.4	2.5	462533	1.08	42482525	198	40655714	95.7	197.88	18425510	18396772	18222132	160660	18868	23850	0.16	0.01	1.61	0.01	1.39	1376217	3.24	2680	0.01	0	0	438349	1.03	9565	0.02	0	0	FALSE	Healthy
SRX966643	31.314	26.89	34.029	37.88	40.967	SRP056477	GSE67196	Brain	Cerebellum	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	42838	33676	714	410838	21065689	14385	722	10597	4305	13487	8939	592	42	121	206	172	25	7	1	160	6	20	0	0	0	0	0	528	21	22	15	15	0	3	0	0	0	0	12981	1010315	29048492	0	35.7031638681967	65.0694472755767	29048492	0	35.249377179373	64.3330649333447	31630	28565463	28273110	0	19837	11472354	0	0.401741	25215006	42424235	27718763	355241	9637814	3447393	22282	59163	84368	86285	341205	486742	29048492	11555197	39.8	1.3	NA	NA	29048492	11470305	39.5	2.5	256608	0.88	28791884	195	25669786	89.16	195.99	11142215	11126320	11034911	82754	9882	14668	0.14	0.01	1.54	0.01	1.46	2927307	10.17	3536	0.01	0	0	176273	0.61	14982	0.05	0	0	FALSE	Neurodegenerative
SRX902280	22.269	35.002	24.219	44.137	53.22	SRP055874	GSE66573	Blood	NA	Neurodegenarative disease	Multiple sclerosis	0	39258	25648	986	268001	24990022	21182	561	5172	1575	9241	7863	429	33	85	307	1070	51	0	130	0	17801	54118	443	0	0	0	0	20387	730	7037	147	0	73	111	3	25	36	0	6042	182814	37759649	0	35.7835895667356	76.851270889705	37759649	0	34.7711836251444	75.3893361200294	48155	36763631	42336279	0	36168	20260367	0	0.551229	19434277	43080897	31233058	366052	7130866	3338924	14790	38180	61453	82506	279540	375330	37759649	12964995	34.3	1.3	NA	NA	37759649	12012444	31.8	3.9	799587	2.12	36960062	196	28678926	77.59	196.79	17581268	17561416	17419769	109428	11420	40651	0.19	0.01	1.58	0.01	1.35	8132860	22	6475	0.02	0	0	87822	0.24	53979	0.15	0	0	FALSE	Neurodegenerative
SRX966667	19.199	39.304	20.911	25.939	28.035	SRP056477	GSE67196	Brain	Cerebellum	Healthy	Healthy	0	64679	107022	1149	681125	38829234	25883	1290	16482	6470	24226	12215	929	63	153	256	362	51	21	3	505	17	23	0	0	0	1	0	349	9	29	14	8	0	5	0	0	0	0	35980	2195689	54098710	0	35.4615801744626	78.1890180837449	54098710	0	34.9561912659285	77.0281736206497	57103	53226916	60227201	0	43538	32737629	0	0.615137	22649197	49903592	31755126	371115	12179087	4037167	26520	70702	101102	107109	430450	609875	54098710	21502530	39.7	1.4	NA	NA	54098710	21042666	38.9	2.9	606141	1.12	53492569	195	47072366	88	195.7	17015175	16994704	16828946	145483	13797	26949	0.14	0.01	1.45	0.01	1.51	6211653	11.61	7234	0.01	0	0	179187	0.33	22129	0.04	0	0	FALSE	Healthy
SRX680599	34.692	14.305	37.333	45.301	48.929	SRP045500	GSE60424	Blood	NA	Neurodegenarative disease	Multiple sclerosis	0	16935	10230	344	132256	10502975	13008	154	2659	723	3501	3715	176	12	32	78	332	16	2	65	0	5158	25576	44	0	0	6	0	16175	300	4551	115	0	32	105	0	9	13	0	1528	132879	15389899	0	37.3359141603203	53.1225669584716	15389899	0	35.986932662781	49.3107970799478	11806	13925034	20091803	0	7585	3423719	0	0.246036	23456285	24323547	17372000	249088	4327223	1483689	11856	22666	33068	51092	304918	427740	15389899	5243929	34.1	1.3	NA	NA	15389899	4976056	32.3	4.1	877706	5.7	14512193	98	11891802	81.94	98.16	3971927	3966746	3935468	29134	2807	4518	0.19	0.01	1.4	0	1.21	2045038	14.09	10492	0.07	0	0	429845	2.96	135016	0.93	0	0	FALSE	Neurodegenerative
SRX834746	58.767	11.633	63.465	64.002	69.489	SRP051844	GSE64810	Brain	Prefrontal cortex	Healthy	Healthy	0	132134	41650	2200	951996	31228766	32046	1927	23452	2354	35234	26232	984	41	341	573	718	108	33	8	741	28	59	1	2	1	1	0	389	15	63	41	22	0	14	0	0	0	0	4011	464133	42990049	0	36.1493105532399	40.0536827188358	42990049	0	35.7139984883478	39.1824772102785	104844	41816690	8649466	0	56196	5324411	0	0.127839	149952628	90781655	58132277	878932	17089721	11886588	71075	198058	284026	201684	709244	961405	42990049	14964211	34.8	1.5	NA	NA	42990049	14828007	34.5	2.4	431375	1	42558674	197	40281706	94.65	197.04	17805167	17764669	17593606	159969	16243	35349	0.18	0.01	1.69	0.01	1.32	1639828	3.85	10583	0.02	0	0	595067	1.4	31490	0.07	0	0	FALSE	Healthy
SRX966654	24.747	20.85	26.832	33.432	36.447	SRP056477	GSE67196	Brain	Frontal cortex	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	23503	49932	424	267285	21196038	7914	256	5131	4467	8401	5265	182	31	38	102	78	38	3	1	441	10	29	0	0	0	2	0	226	10	30	4	216	0	3	0	0	0	0	23449	1840950	31049578	0	35.1727107853124	70.4111303132968	31049578	0	34.8793373616865	69.7003445982778	29620	30451111	58884251	0	19765	12475391	0	0.409811	26109218	44339219	29515739	390833	11266816	1867591	20359	44867	58747	71595	367053	548872	31049578	11524985	37.1	1.3	NA	NA	31049578	11354054	36.6	3	428080	1.38	30621498	196	25099914	81.97	196.77	9335682	9319348	9229146	78983	7576	19977	0.14	0.01	1.4	0.01	1.5	5380817	17.57	2138	0.01	0	0	128209	0.42	10420	0.03	0	0	FALSE	Neurodegenerative
SRX966627	18.077	45.793	19.608	23.947	26.257	SRP056477	GSE67196	Brain	Cerebellum	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	59880	71030	937	583999	39216486	22603	876	15241	6699	18664	9039	903	41	102	156	270	34	6	3	303	16	39	0	0	0	0	0	1436	65	11	6	14	0	4	0	0	0	0	30582	3126650	53437288	0	35.3823517578212	81.0851672859491	53437288	0	34.8601938406754	79.9217800068297	55974	52623126	48969301	0	46742	35292046	0	0.670744	18380588	43196212	29166261	391568	9874633	2622463	18716	42822	60346	76856	323442	465147	53437288	19385819	36.3	1.7	NA	NA	53437288	19254656	36	3.1	504507	0.94	52932781	196	47242962	89.25	196.57	20076322	20055759	19863238	160818	22736	29530	0.16	0.01	1.41	0.01	1.61	5436138	10.27	11301	0.02	0	0	215522	0.41	26858	0.05	0	0	FALSE	Neurodegenerative
SRX834741	53.549	20.135	58.155	59.479	64.745	SRP051844	GSE64810	Brain	Prefrontal cortex	Healthy	Healthy	0	82428	76568	1247	692520	34779075	22390	850	15342	1825	20386	17329	694	18	148	284	769	68	9	16	291	21	136	0	0	0	3	0	333	18	55	7	146	1	12	0	0	0	0	9262	1312036	44739080	0	35.3661113952276	50.4946805576385	44739080	0	35.0189006568754	49.4916834854592	93402	43745933	13150314	0	58219	10093897	0	0.231158	79570651	85024736	57907256	920692	18058426	6010409	52146	126454	177767	142280	568171	769405	44739080	16256710	36.3	1.8	NA	NA	44739080	15813688	35.3	2.6	344513	0.77	44394567	196	41563537	93.62	195.79	19268927	19232093	19036384	183774	16496	32273	0.18	0.01	1.6	0.01	1.32	2275798	5.13	6473	0.01	0	0	523542	1.18	25217	0.06	0	0	FALSE	Healthy
SRX700848	13.695	12.843	14.648	24.385	26.587	SRP047122	GSE61405	Blood	NA	Neurodegenarative disease	Huntington disease	0	8565	6056	502	85701	4449195	8144	798	1731	2404	2076	2351	2704	569	35	69	271	4	36	24	0	1359	4906	33	0	0	0	0	3449	168	1228	44	1	8	26	1	7	8	0	3424	539314	14746690	0	23.8793034911563	29.4680879338065	14746690	0	22.8834722232582	28.9110256286972	49268	9303485	38480863	0	27114	3649276	0	0.392666	8497121	12796376	8380109	167261	1674963	1927864	12395	25281	33713	29730	195813	291956	14746690	3102040	21	19.5	NA	NA	14746690	3415313	23.2	25.9	3485017	23.63	11261673	90	6170834	54.8	91.82	1533788	1529773	1507382	20212	2812	3382	0.31	0.01	1.26	0	1.26	3181919	28.25	34819	0.31	0	0	748472	6.65	1125629	10	0	0	FALSE	Neurodegenerative
SRX700844	20.757	13.266	22.286	31.039	33.653	SRP047122	GSE61405	Blood	NA	Neurodegenarative disease	Huntington disease	0	21558	14277	634	234867	10043408	24189	1235	5096	4011	5986	5535	2198	885	117	142	657	25	16	68	0	3044	14890	112	0	0	10	0	9366	397	2467	157	4	5	43	4	20	9	0	5966	636768	24434964	0	25.2228160434368	37.7645485968691	24434964	0	24.2930081255696	38.8538535872296	129284	18068940	45504452	0	72395	5367856	0	0.298014	24030785	28578784	17314074	242997	4476623	5409510	20190	51941	76826	81628	337971	466866	24434964	6586584	27	16.1	NA	NA	24434964	7366919	30.1	19.1	4911449	20.1	19523515	95	14072238	72.08	96.02	3416924	3406979	3349712	56166	2681	8365	0.34	0.01	1.3	0	1.26	4125986	21.13	39516	0.2	0	0	917928	4.7	367847	1.88	0	0	FALSE	Neurodegenerative
SRX834769	23.648	65.503	25.432	27.276	29.466	SRP051844	GSE64810	Brain	Prefrontal cortex	Healthy	Healthy	0	116240	44168	1840	1077874	43729894	33632	1703	21694	2184	29912	27306	1297	34	229	429	1163	94	18	10	3331	12	68	3	0	4	12	0	2140	60	100	19	172	0	0	0	0	0	0	11721	1090430	57857251	0	34.9938884064851	72.7809415912298	57857251	0	33.5330225765479	67.7716704367316	140816	53821546	5886094	0	118940	37160156	0	0.690634	17462195	41126092	26039557	307708	10428997	3404240	26707	74892	105534	77003	222013	291741	57857251	21965325	38	2.7	NA	NA	57857251	20172020	34.9	6.6	3141384	5.43	54715867	197	52335562	95.65	196.9	20961311	20931929	20734108	174689	18861	33653	0.18	0.01	1.6	0.01	1.34	1626800	2.97	5189	0.01	0	0	728345	1.33	19971	0.04	0	0	FALSE	Healthy
SRX700852	13.398	10.894	14.38	23.36	25.952	SRP047122	GSE61405	Blood	NA	Healthy	Healthy	0	5970	5168	262	61566	2758058	5858	218	1166	2490	1678	1334	761	259	33	50	174	11	24	20	0	600	2755	11	0	2	5	0	2876	124	979	33	0	2	11	5	3	5	0	1396	147258	9897714	0	19.2692951119824	21.5226731118016	9897714	0	25.16483402127	45.0115877497879	46248	5924787	25772705	0	23613	2034436	0	0.344027	6512194	8757355	5516041	91188	1082788	1523554	7955	17509	24473	22489	174353	261104	9897714	1716101	17.3	33.8	NA	NA	9897714	2330246	23.5	18.6	2963382	29.94	6934332	89	3781896	54.54	91.35	929141	926086	916287	9640	814	2400	0.55	0.01	1.3	0	1.28	2189139	31.57	15173	0.22	0	0	581170	8.38	366954	5.29	0	0	FALSE	Healthy
SRX966649	33.91	27.413	36.712	40.68	43.879	SRP056477	GSE67196	Brain	Cerebellum	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	48937	22715	636	457954	24454895	15720	581	10928	4254	13930	8524	329	21	79	212	311	27	4	3	85	8	9	0	0	1	0	0	743	70	30	10	17	0	1	0	0	0	0	6624	765050	32050107	0	35.6131376722081	65.8059563187554	32050107	0	34.9333425002294	65.0685210386825	34583	31412762	28292732	0	23691	12475907	0	0.397319	28180362	48575486	33767347	515466	10353880	2701929	24608	55869	76502	92153	339209	474564	32050107	12559394	39.2	1.4	NA	NA	32050107	12641865	39.4	3	404484	1.26	31645623	195	28542290	90.19	195.73	15485629	15467605	15330622	123383	13670	17954	0.14	0.01	1.57	0.01	1.51	2905055	9.18	3026	0.01	0	0	184043	0.58	11209	0.04	0	0	FALSE	Neurodegenerative
SRX700842	15.398	13.665	16.461	27.701	30.384	SRP047122	GSE61405	Blood	NA	Neurodegenarative disease	Huntington disease	0	13509	11801	412	156083	7470094	15795	803	2994	2922	3521	2967	1900	628	68	95	563	18	11	30	1	1358	6415	30	0	0	11	0	6491	212	1875	80	0	2	29	1	0	5	0	3942	725168	24800435	0	25.4382126361896	49.7847679445386	24800435	0	19.6162579406369	36.8916441780584	172247	14734913	52147221	0	101754	5514889	0	0.375531	14384256	20771207	13045931	161343	3203329	3448027	15903	38029	54872	55945	272249	385547	24800435	6489353	26.2	15.1	NA	NA	24800435	6925241	27.9	36.7	8182383	32.99	16618052	90	10371534	62.41	91.31	2389133	2382686	2353846	28070	1731	5486	0.35	0.01	1.35	0	1.25	4535626	27.29	30908	0.19	0	0	1004145	6.04	675839	4.07	0	0	FALSE	Neurodegenerative
SRX966624	24.314	25.342	26.427	31.103	33.749	SRP056477	GSE67196	Brain	Frontal cortex	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	28384	49677	572	331643	26396427	10048	352	6314	5446	9110	5528	377	65	48	120	117	40	3	3	419	5	116	0	0	0	5	0	206	12	26	5	201	0	1	0	0	0	0	17434	2903776	38294073	0	35.292457869394	73.2348562382011	38294073	0	35.0908032164664	72.479252502739	34671	37646387	61820143	0	24631	17359070	0	0.461223	26959227	50744100	34595773	515640	12017378	2262175	23442	48462	64137	74280	406762	594335	38294073	14799750	38.6	1.3	NA	NA	38294073	14704556	38.4	2.6	408507	1.07	37885566	196	31966143	84.38	196.26	13284325	13260121	13111842	135938	12087	24458	0.16	0.01	1.37	0.01	1.47	5714915	15.08	5023	0.01	0	0	186561	0.49	12924	0.03	0	0	FALSE	Neurodegenerative
SRX902289	36.531	21.822	39.588	51.064	59.455	SRP055874	GSE66573	Blood	NA	Healthy	Healthy	0	45456	22405	1172	342754	20758680	21979	872	6927	1815	12130	10329	651	40	121	477	1073	38	7	97	0	10056	34095	322	0	0	3	0	27177	1552	10143	257	2	82	71	3	36	32	0	4079	78153	30250774	0	35.7586602246938	61.4885990204832	30250774	0	34.6250314785334	59.4561235034871	42438	29562716	24382693	0	25591	9096122	0	0.307901	37575316	52230590	35466060	463289	8789436	6138428	23577	66872	103982	112101	372275	501141	30250774	12177668	40.3	1.1	NA	NA	30250774	11601388	38.4	3.7	508321	1.68	29742453	194	25464607	85.62	194.7	13679671	13660956	13541922	102566	11787	23396	0.19	0.01	1.58	0.01	1.36	4140547	13.92	6638	0.02	0	0	103806	0.35	26855	0.09	0	0	FALSE	Healthy
SRX834733	53.019	18.414	57.55	59.198	64.325	SRP051844	GSE64810	Brain	Prefrontal cortex	Healthy	Healthy	0	68576	51733	1283	632980	28934253	18808	998	12613	1580	21068	14968	559	33	147	363	636	79	4	13	4860	19	32	0	1	0	2	0	301	29	33	11	138	0	19	0	0	0	0	11617	1207048	37925203	0	36.1847154779897	49.6216001988436	37925203	0	35.9057029437654	48.9475782133661	79947	37235618	12451945	0	47601	7972169	0	0.21451	74044285	72916035	47897214	661493	16298723	6063199	46955	120855	170564	133420	534845	731896	37925203	13079787	34.5	1.4	NA	NA	37925203	12995484	34.3	2	213374	0.56	37711829	197	35216052	93.38	197.24	14871576	14834677	14666973	146793	13782	44028	0.16	0.01	1.62	0.01	1.33	2099513	5.57	6794	0.02	0	0	370584	0.98	18886	0.05	0	0	FALSE	Healthy
SRX966645	20.619	40.207	22.543	26.394	28.649	SRP056477	GSE67196	Brain	Cerebellum	Neurodegenarative disease	Amyotrophic lateral sclerosis	0	55650	87481	1025	583624	28526066	19577	1086	11781	5286	17856	12671	826	65	149	200	298	37	4	7	423	4	30	0	0	1	0	0	1001	26	28	3	11	0	0	0	0	0	0	36391	2338791	40651822	0	35.6648711341893	76.1304452964022	40651822	0	35.4081357534233	75.4503180637106	43905	40139673	39389313	0	32331	24044793	0	0.599103	18046668	38796644	24270311	263572	9438472	3531138	22898	65268	94274	83482	348371	493744	40651822	16289643	40.1	1.3	NA	NA	40651822	16071884	39.5	2.2	258760	0.64	40393062	195	35964863	89.04	196	12314910	12297554	12196688	86553	10054	21615	0.17	0.01	1.45	0.01	1.54	4218715	10.44	4838	0.01	0	0	183524	0.45	21122	0.05	0	0	FALSE	Neurodegenerative
SRX834744	51.214	20.334	55.691	57.076	62.182	SRP051844	GSE64810	Brain	Prefrontal cortex	Healthy	Healthy	0	55013	53462	801	496820	25536674	15735	604	9976	992	15411	11513	405	12	127	235	373	74	3	7	471	85	303	0	0	0	0	0	348	26	53	3	170	0	11	0	0	0	0	9843	1345393	33879104	0	35.9560996654457	50.2835129009485	33879104	0	35.487603922465	48.9517510326204	71775	32545254	12265496	0	42908	7837504	0	0.241212	56221417	62299022	42550698	681303	13241875	4220946	40847	94322	127853	99990	457334	616058	33879104	12544686	37	1.8	NA	NA	33879104	12165007	35.9	2.7	767195	2.26	33111909	197	30743351	92.85	197.02	13654956	13626491	13488681	126572	15156	24547	0.15	0.01	1.53	0.01	1.3	1873678	5.66	5665	0.02	0	0	475909	1.44	13306	0.04	0	0	FALSE	Healthy
SRX970047	3.073	53.163	3.309	14.577	18.96	SRP056604	GSE67333	Brain	Hippocampus	Neurodegenarative disease	Alzheimer’s disease	0	167687	30562	23772	2965650	70944249	167620	304068	41731	666730	70216	30732	1858369	46844	1549	916	2324	161	401	35	38	214	244	2	6	0	5	0	473	121	130	127	264	0	65	0	0	0	0	22180	5035681	187514717	0	33.3910888658409	83.0512000637546	NA	NA	NA	NA	156878999	0	97849976	0	135420690	0	0	0.863217	NA	24612132	9142127	225457	1818920	11988594	33677	110797	177188	67025	239961	356098	187514717	75881191	40.5	5.6	266908	0.1	NA	NA	NA	NA	NA	NA	187247809	93	134341845	71.75	90.43	32016709	31908570	31603607	274169	27479	111454	0.27	0.02	1.68	0	1.42	22537154	12.04	748577	0.4	0	0	27379322	14.62	2240911	1.2	0	0	FALSE	Neurodegenerative
SRX970053	3.257	56.061	3.504	12.023	15.684	SRP056604	GSE67333	Brain	Hippocampus	Healthy	Healthy	0	145207	26133	22739	2524389	63022057	141249	139060	35630	225495	62470	27368	1170479	40614	1188	774	1412	93	123	40	82	50	12	3	0	8	2	0	129	47	115	49	60	0	49	2	0	0	0	16213	6048071	164772379	0	33.7797258301405	82.595667122492	NA	NA	NA	NA	139291338	0	73567228	0	119331299	0	0	0.856703	NA	22755968	8048117	201295	1639480	11570699	29418	96497	154902	59287	210736	314077	164772379	64853892	39.4	5.1	278226	0.2	NA	NA	NA	NA	NA	NA	164494153	93	122070068	74.21	91.22	28138607	28036435	27751742	250582	26486	109797	0.24	0.02	1.68	0.01	1.45	17221270	10.47	382261	0.23	0	0	22738991	13.82	2081563	1.27	0	0	FALSE	Healthy
SRX966671	25.821	26.239	27.917	34.033	36.658	SRP056477	GSE67196	Brain	Cerebellum	Healthy	Healthy	0	77422	25746	1441	800746	35283069	26260	1391	15918	7536	24706	14723	876	95	200	363	432	68	3	11	245	59	236	1	0	1	0	0	686	25	45	25	61	1	5	0	0	0	0	8903	936041	50038325	0	35.4993157744589	69.3763590181667	50038325	0	34.6683171948701	68.0586861582664	60163	48966632	67399355	0	41470	21667311	0	0.442643	37394629	68755204	45716777	749224	14399392	5926073	44340	107400	148077	131552	512790	733006	50038325	18916076	37.8	1.4	NA	NA	50038325	18928160	37.8	3.3	672772	1.34	49365553	195	42703221	86.5	195.97	21513635	21483679	21298458	169695	18474	27008	0.15	0.01	1.59	0.01	1.51	6323574	12.81	7228	0.01	0	0	301643	0.61	29887	0.06	0	0	FALSE	Healthy
